Utbildningsområde,Utbildningsnamn,YH-poäng,Anordnare,Kommun 1,Kommun 2,Kommun 3,Kommun 4,Kommun 5,Kommun 6,Platser med start 2020,Platser med start 2021,Utbildningsnummer,Källa,Sheet,Definitioner och förklaringar,Kommun 7,Kommun 8,Kommun 9,Kommun 10,Platser med start och avslut 2020,Diarienummer,Beslut,Anordnare namn,Antal beviljade platser 2023,Antal beviljade platser 2024,Totalt antal beviljade platser,Kommun,Län,FA-region,Antal kommuner,Antal län,Antal FA-regioner,Sökt utbildningsområde,Sökt antal platser 2023,Sökt antal platser 2024,Sökt antal platser 2024 (start och avslut 2024),Sökt antal platser 2025,Sökt antal platser 2026,Sökt antal  platser 2021,Sökt antal platser 2022,Antal beviljade platser 2022,Antal beviljade platser start 2024,Antal beviljade platser start och slut 2024,Antal beviljade platser start 2025,Antal beviljade platser 2021
Data/IT,Agil testautomatiserare,60.0,IT-Högskolan Sverige AB,Göteborg,,,,,,15.0,20.0,YH01239,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Agila arbetsmetoder &DevOps för utveklare,40.0,Lernia Utbildning AB,Malmö,,,,,,6.0,6.0,YH01249,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Agile Project Leader,60.0,Changemaker Educations AB,Stockholm,Boden,Skellefteå,Karlstad,,,30.0,60.0,YH01247,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Agilt ledarskap,20.0,Nackademin AB,Solna,,,,,,30.0,30.0,YH01242,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Amazon AWS,60.0,Campus Mölndal,Mölndal,,,,,,25.0,50.0,YH01241,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Azure administration för servtekniker,60.0,Lernia Utbildning AB,Stockholm,Malmö,,,,,18.0,18.0,YH01250,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,"Continuous Integration, Delivery och Deployment",30.0,Campus Mölndal,Mölndal,,,,,,25.0,50.0,YH01251,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Digitalisering inom industrin,15.0,Göteborgs Tekniska College AB,Göteborg,,,,,,20.0,80.0,YH01315,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Front-end,75.0,Sunne kommun/Broby Grafiska,Sunne,,,,,,0.0,56.0,YH01289,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Frontend Developer,50.0,Changemaker Educations AB,Stockholm,Boden,,,,,30.0,60.0,YH01248,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Internet of Things med Python och C++,75.0,Östsvenska Yrkeshögskolan AB,Linköping,,,,,,30.0,30.0,YH01246,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,IT-projektledare,80.0,Borås Stad - Borås Yrkeshögskola,Borås,,,,,,20.0,20.0,YH01235,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,IT-säkerhet,30.0,TUC Sweden AB - yrkeshögskola,Linköping,Jönköping,Tranås,,,,20.0,40.0,YH01245,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Java Automation Developer,25.0,Stiftelsen Stockholms Tekniska Institut,Stockholm,,,,,,25.0,25.0,YH01244,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,JavaScript fullstack,50.0,Campus Mölndal,Mölndal,,,,,,25.0,50.0,YH01252,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Microsoft Azure,50.0,Campus Mölndal,Mölndal,,,,,,25.0,50.0,YH01253,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Molnutveckling med AWS och integrationer,30.0,IT-Högskolan Stockholm AB,Stockholm,,,,,,30.0,30.0,YH01238,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Objektorienterad programmering och C++,15.0,Göteborgs Tekniska College AB,Göteborg,,,,,,20.0,80.0,YH01316,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Office 365 Specialist,75.0,EC Utbildning AB,Solna,,,,,,25.0,25.0,YH01236,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,UX Designer up-skill,80.0,Hyper Island Program AB,Malmö,Kalmar,,,,,40.0,80.0,YH01237,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,UX/UI-Designer,75.0,Sunne kommun/Broby Grafiska,Sunne,,,,,,0.0,56.0,YH01291,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data/IT,Webbutveckling med React,30.0,IT-Högskolan Stockholm AB,Göteborg,,,,,,20.0,20.0,YH01240,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Business developer med fokus på digitalisering och hållbarhet,65.0,Hyper Island Program AB,Malmö,Karlskrona,,,,,40.0,80.0,YH01255,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Content marketing & Copywriting,30.0,Lidköpings kommun Campus Lidköping,Lidköping,,,,,,0.0,30.0,YH01286,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Diagnosklassifikation,25.0,Campus Nyköping,Nyköping,Ronneby,Visby,Västerås,Sundsvall,Luleå,20.0,20.0,YH01254,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Digital analys och mätning,60.0,Medieinstitutet i Sverige AB,Stockholm,,,,,,40.0,80.0,YH01260,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Digital Analytics – Conversion & Visualisation,30.0,IHM Business School AB Stockholm,Stockholm,,,,,,40.0,50.0,YH01256,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Digital Marketing Specialist,50.0,Sälj & Marknadshögskolan i Sverige AB,Göteborg,,,,,,25.0,25.0,YH01269,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",e-handel för fysiska butiker,90.0,Sveriges Yrkeshögskola AB - Malmö Yrkeshögskola,Malmö,,,,,,35.0,35.0,YH01268,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Entreprenadinköpare,95.0,Stockholms Internationella Handelsskola AB,Stockholm,,,,,,30.0,30.0,YH01266,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Hållbarhet inom e-handeln,30.0,IHM Business School AB Göteborg,Göteborg,,,,,,40.0,50.0,YH01257,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Hållbarhetscontroller,95.0,Stockholms Internationella Handelsskola AB,Stockholm,,,,,,30.0,30.0,YH01267,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Inköpsanalytiker,50.0,One Academy AB,Stockholm,Göteborg,,,,,50.0,100.0,YH01264,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Leda digital transformation,60.0,Plushögskolan AB - Teknikhögskolan,Karlstad,,,,,,25.0,35.0,YH01243,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Marketing Automation,90.0,Medieinstitutet i Sverige AB,Stockholm,,,,,,30.0,60.0,YH01261,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Process och systemförståelse för Lönespecialister,75.0,Iterum Education,Stockholm,,,,,,35.0,35.0,YH01258,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Redovisningsekonomens väg mot ledningsgruppsarbetet,10.0,Kunskap & Kompetens i Sverige AB,Umeå,,,,,,30.0,30.0,YH01270,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning","Social, Content & Influencer Marketing",30.0,Medieinstitutet i Sverige AB,Stockholm,,,,,,40.0,80.0,YH01262,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Sustainability within procurement,40.0,One Academy AB,Stockholm,Göteborg,,,,,50.0,100.0,YH01265,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Systemförståelse för redovisningsekonomer/konsulter,75.0,Iterum Education,Stockholm,,,,,,35.0,35.0,YH01259,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ekonomi, administration och försäljning",Sökmarknadsföring SEO & SEM,40.0,Medieinstitutet i Sverige AB,Stockholm,,,,,,40.0,80.0,YH01263,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hotell, restaurang och turism",Hållbar och klimatsmart mat i restaurang,20.0,TUC Sweden AB - Yrkeshögskola,Stockholm,Tranås,Jönköping,,,,30.0,60.0,YH01272,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hotell, restaurang och turism",Hållbara event,15.0,Campus Nyköping,Nyköping,Stockholm,,,,,30.0,30.0,YH01271,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hotell, restaurang och turism","Sustainability Management - Besöksnäring, hotell, restaurang, resor, möten och event",25.0,Yrkesakademin YH AB,Falun,Visby,Örnsköldsvik,Åre ,Uppsala ,Helsingborg,60.0,30.0,YH01273,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hälso- och sjukvård samt socialt arbete,Digitala registreringar och bettfysiologi,5.0,Svensk vård och kompetensutveckling i Stockholm AB,Stockholm,,,,,,50.0,200.0,YH01283,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hälso- och sjukvård samt socialt arbete,Digitalisering inom tandvården,15.0,TUC Sweden AB - Yrkeshögskola,Tranås,Stockholm,,,,,40.0,80.0,YH01285,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hälso- och sjukvård samt socialt arbete,"Digitalisering inom vård, omsorg och socialt arbete",40.0,Trelleborgs kommun,Trelleborg,,,,,,30.0,60.0,YH01274,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hälso- och sjukvård samt socialt arbete,"E-hälsa, digitalisering och välfärdsteknik inom vård- och omsorg",40.0,Gislaveds Kommun Vuxenutbildningen /Hph,Gislaved,Vetlanda,Hultsfred,,,,20.0,20.0,YH01276,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hälso- och sjukvård samt socialt arbete,Hållbar interkulturell kompetens,50.0,Högskolan för lärande och kommunikation i Jönköping AB,Värnamo,Oskarshamn,,,,,28.0,28.0,YH01277,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hälso- och sjukvård samt socialt arbete,"Kommunikation, välfärdsteknik och kognitivt stöd",35.0,Campus Nyköping,Nyköping,,,,,,30.0,30.0,YH01281,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hälso- och sjukvård samt socialt arbete,Välfärdsteknik,50.0,"Oskarshamns kommun, Nova Utbildning, FoU & Affärsutveckling",Oskarshamn,Värnamo,Västervik,,,,20.0,40.0,YH01282,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hälso- och sjukvård samt socialt arbete,Välfärdsteknik,40.0,Trelleborgs kommun,Trelleborg,,,,,,30.0,60.0,YH01275,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hälso- och sjukvård samt socialt arbete,Välfärdsteknik för sjuksköterskor,50.0,Nackademin AB,Solna,,,,,,40.0,40.0,YH01280,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hälso- och sjukvård samt socialt arbete,Välfärdsteknik inom vård och omsorg,50.0,KompetensUtvecklingsinstitutet Sverige AB,Eskilstuna,Linköping,Uppsala,,,,30.0,60.0,YH01278,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hälso- och sjukvård samt socialt arbete,Välfärdsteknik inom vård och omsorg,30.0,TUC Sweden AB - Yrkeshögskola,Linköping,Stockholm,,,,,16.0,44.0,YH01284,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hälso- och sjukvård samt socialt arbete,Välfärdsteknologi inom vård-omsorg,50.0,"Kramfors kommun, Yrkeshögskolan Höga kusten",Kramfors,,,,,,10.0,10.0,YH01279,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kultur, media och design",Futuregames Game Engines,60.0,Changemaker Educations AB,Stockholm,Skellefteå,,,,,30.0,60.0,YH01288,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kultur, media och design",Digital Content Production,30.0,Lidköpings kommun Campus Lidköping,Lidköping,,,,,,20.0,20.0,YH01287,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kultur, media och design",Hållbar varumärkesstragei,75.0,Sunne kommun/Broby Grafiska,Sunne,,,,,,0.0,56.0,YH01290,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lantbruk, djurvård, trädgård, skog och fiske",Ekosystemtjänster i praktiken – inom skötsel och anläggning,50.0,Båstad kommun Akademi Båstad,Båstad,,,,,,25.0,25.0,YH01292,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedagogik och undervisning,Design av digital didaktik,40.0,ABF Göteborg Vuxenutbildning AB,Göteborg,,,,,,30.0,30.0,YH01293,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samhällsbyggnad och byggteknik,BIM för arbetsledare,50.0,"Göteborgs stad, Yrgo",Göteborg,,,,,,20.0,40.0,YH01295,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samhällsbyggnad och byggteknik,BIM-projektör,35.0,Stiftelsen Stockholms Tekniska Institut,Stockholm,,,,,,25.0,25.0,YH01300,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samhällsbyggnad och byggteknik,Den digitaliserade byggprocessen,50.0,Tekniska Högskolan i Jönköping AB,Jönköping,,,,,,20.0,40.0,YH01302,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samhällsbyggnad och byggteknik,Energieffektiv drift av fastigheter,30.0,TUC Sweden AB - Yrkeshögskola,Tranås,Linköping,Jönköping,,,,20.0,40.0,YH01304,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samhällsbyggnad och byggteknik,Energieffektivisering och driftoptimering,30.0,John Ericsson Institutet,Stockholm,,,,,,40.0,80.0,YH01298,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samhällsbyggnad och byggteknik,Energioptimering,30.0,TUC Sweden AB - Yrkeshögskola,Tranås,Linköping,Jönköping,,,,20.0,40.0,YH01305,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samhällsbyggnad och byggteknik,Fastighetsautomation,25.0,John Ericsson Institutet,Stockholm,,,,,,40.0,80.0,YH01299,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samhällsbyggnad och byggteknik,Fastighetsautomation,90.0,Stiftelsen Stockholms Tekniska Institut,Stockholm,,,,,,22.0,22.0,YH01301,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samhällsbyggnad och byggteknik,Installationssamordnare,95.0,INSU AB,Nyköping,,,,,,35.0,35.0,YH01296,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samhällsbyggnad och byggteknik,IT och automation inom fastighetsbranschen,30.0,TUC Sweden AB - yrkeshögskola,Linköping,Stockholm,,,,,15.0,55.0,YH01303,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samhällsbyggnad och byggteknik,Kalkylator inom EL,95.0,INSU AB,Nyköping,,,,,,35.0,35.0,YH01297,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samhällsbyggnad och byggteknik,Kompetensutveckling av GIS med inslag av BIM,85.0,Folkuniversitetet- stiftelsen kursverksamheten vid Uppsala universitet,Gävle,,,,,,20.0,20.0,YH01294,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Säkerhetstjänster,Cybersäkerhet,15.0,Företagsuniversitetet AB,Stockholm,Göteborg,Linköping,,,,20.0,60.0,YH01306,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Säkerhetstjänster,Ledning och samordning av informations- och cybersäkerhet,32.0,Företagsuniversitetet AB,Stockholm,,,,,,25.0,50.0,YH01307,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Säkerhetstjänster,Säkerhetstekniker,36.0,Företagsuniversitetet AB,Stockholm,,,,,,24.0,48.0,YH01308,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teknik och tillverkning, CNC tekniker automation,90.0,Tekniska Högskolan i Jönköping AB,Jönköping,,,,,,15.0,15.0,YH01327,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teknik och tillverkning,3D Garment technical designer,80.0,Borås Stad - Borås Yrkeshögskola,Borås,,,,,,20.0,20.0,YH01313,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teknik och tillverkning,"3D Printing, ett helhetsperspektiv",8.0,Östsvenska Yrkeshögskolan AB,Hultsfred,,,,,,20.0,20.0,YH01330,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teknik och tillverkning,Automation och ellära för underhållspersonal,50.0,Gislaveds Kommun Vuxenutbildningen /Hph,Gislaved,Vetlanda,,,,,20.0,20.0,YH01314,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teknik och tillverkning,Automation PLC inom energiproduktion ,50.0,Lernia Utbildning AB,Piteå,,,,,,10.0,10.0,YH01321,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teknik och tillverkning,Automationsteknik för processoperatörer och drifttekniker,70.0,Creando Training AB – Creando School,Sundsvall,,,,,,30.0,30.0,YH01309,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teknik och tillverkning,Digital ritningshantering,30.0,"Arboga kommun, Vuxenutbildningen",Arboga,,,,,,30.0,30.0,YH01312,ANS_L11_Beviljade-korta-utb-kurser-kurspaket-YH-april-2020-1.xlsx,Lista beviljade utbildningar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
